,dir_img,category,category_num,x0,y0,x1,y1,floral,graphic,striped,embroidered,pleated,solid,lattice,long_sleeve,short_sleeve,sleeveless,maxi_length,mini_length,no_dress,crew_neckline,v_neckline,square_neckline,no_neckline,denim,chiffon,cotton,leather,faux,knit,tight,loose,conventional
0,Floral_Print_Shirt_Dress_img_00000065.jpg,Dress,40,24,56,151,299,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1,Butterfly_Sleeve_Sheath_Dress_img_00000034.jpg,Dress,40,32,34,150,300,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
2,Marled_Crochet-Back_Sweater_img_00000038.jpg,Sweater,15,42,55,174,281,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
3,Sunburst_Print_Swim_Trunks_img_00000008.jpg,Trunks,35,61,163,174,229,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
4,Collared_Surplice_Blouse_img_00000022.jpg,Blouse,2,48,72,173,168,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
5,Island_Graphic_Boxy_Tee_img_00000002.jpg,Tee,17,49,60,135,225,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
6,V-Neck_Velveteen_Bodycon_Dress_img_00000018.jpg,Dress,40,39,64,163,298,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
7,Chiffon_Shift_Dress_img_00000084.jpg,Dress,40,55,39,161,195,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
8,Structured_Pleated_A-Line_Dress_img_00000026.jpg,Dress,40,35,41,185,300,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
9,Bandage_Bodycon_Dress_img_00000047.jpg,Dress,40,43,1,185,300,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
10,Crochet-Trimmed_Maxi_Dress_img_00000063.jpg,Dress,40,53,28,160,300,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
11,Low-Rise_-_Distressed_Skinny_Jeans_img_00000065.jpg,Jeans,25,67,112,168,285,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
12,Longline_Side-Slit_Blazer_img_00000066.jpg,Blazer,1,81,28,183,213,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
13,Asymmetrical_Twist-Front_Top_img_00000001.jpg,Top,18,72,59,128,117,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
14,Paint_It_Red_Lace_Midi_Dress_img_00000051.jpg,Dress,40,38,1,165,300,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
15,Shredded_Back_Midi_Dress_img_00000025.jpg,Dress,40,50,39,171,226,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
16,Heathered_Knit_Cocoon_Jacket_img_00000023.jpg,Jacket,10,37,62,181,277,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
17,Striped_Shirt_Dress_img_00000040.jpg,Dress,40,46,61,220,287,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
18,Floral_Print_Tee_img_00000037.jpg,Tee,17,36,15,208,225,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
19,Marled_Knee-Length_Shorts_img_00000029.jpg,Shorts,31,45,22,172,151,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
20,Checkered_Metallic_Dress_img_00000051.jpg,Dress,40,42,65,169,285,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
21,Tile_Print_Blouse_img_00000004.jpg,Blouse,2,16,8,202,246,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
22,Eiffel_Tower_Graphic_Linen_Tee_img_00000019.jpg,Tee,17,19,58,177,265,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
23,Layered_Sleeveless_Dress_img_00000083.jpg,Dress,40,8,72,196,282,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
24,Classic_Midi_Dress_img_00000025.jpg,Dress,40,90,46,192,300,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
25,Abstract_Print_Maxi_Dress_img_00000044.jpg,Dress,40,35,26,133,300,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
26,Paisley_Print_Cami_Dress_img_00000026.jpg,Dress,40,85,56,187,300,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
27,High-Waisted_Rose_Print_Shorts_img_00000007.jpg,Shorts,31,1,41,225,230,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
28,Linen-Blend_Shorts_img_00000018.jpg,Shorts,31,99,120,172,207,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
29,Mixed_Print_Maxi_Dress_img_00000027.jpg,Dress,40,37,33,143,296,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
30,Chiffon-Trimmed_Jumpsuit_img_00000033.jpg,Jumpsuit,41,74,28,158,300,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
31,Arrow-Printed_Tee_img_00000001.jpg,Tee,17,15,73,178,246,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
32,Longline_Floral_Lace_Cardigan_img_00000010.jpg,Cardigan,5,24,50,178,290,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
33,Metallic_Slip_Dress_img_00000048.jpg,Dress,40,74,39,154,208,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
34,Cutout-Back_Midi_Dress_img_00000066.jpg,Dress,40,61,31,140,214,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
35,Twist_Cutout_Back_Dress_img_00000022.jpg,Dress,40,26,26,133,300,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
36,Heathered_Knit_Dress_img_00000033.jpg,Dress,40,89,1,217,225,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
37,Tailored_Woven_Blazer_img_00000090.jpg,Blazer,1,33,57,163,264,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
38,Cuffed_High-Waist_Shorts_img_00000057.jpg,Shorts,31,58,1,178,94,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
39,Boys_Aint_Loyal_Graphic_Tee_img_00000027.jpg,Tee,17,17,71,204,278,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
40,Textured_Baroque_Floral_Shorts_img_00000014.jpg,Shorts,31,76,121,234,284,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
41,Sequined_Tweed_Skirt_img_00000032.jpg,Skirt,32,43,4,157,112,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
42,Longline_Batwing_Cardigan_img_00000014.jpg,Cardigan,5,49,33,162,243,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
43,Classic_V-Neck_Cardigan_img_00000006.jpg,Cardigan,5,50,29,229,300,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
44,Spoiled_Graphic_Tee_img_00000020.jpg,Tee,17,89,85,234,256,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
45,Belted_High-Waisted_Shorts_img_00000004.jpg,Shorts,31,92,108,186,174,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
46,Draped_Surplice_Blouse_img_00000055.jpg,Blouse,2,24,1,282,300,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
47,Geo_Stripe_Knit_Mini_Skirt_img_00000018.jpg,Skirt,32,53,157,171,271,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
48,Strapless_Coated_Dress_img_00000067.jpg,Dress,40,46,47,161,300,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
49,Tribal_Print_Drawstring_Joggers_img_00000013.jpg,Joggers,28,109,1,150,227,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
50,Clear_Cut_High-Waisted_Shorts_img_00000027.jpg,Shorts,31,43,51,152,172,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
51,Dot-Patterned_Athletic_Tank_img_00000004.jpg,Tank,16,67,50,182,249,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
52,Heathered_Knit_Drawstring_Jumpsuit_img_00000026.jpg,Jumpsuit,41,62,22,184,288,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
53,Nautical_Palm_Print_Tee_img_00000038.jpg,Tee,17,20,66,216,288,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
54,V-Cut_Bodycon_Dress_img_00000013.jpg,Dress,40,12,58,163,300,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
55,Fringed_Stripe_Poncho_img_00000013.jpg,Poncho,14,42,61,148,204,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
56,Side-Slit_Maxi_Dress_img_00000002.jpg,Dress,40,73,23,147,298,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
57,Floral_Bodycon_Dress_img_00000070.jpg,Dress,40,7,1,199,300,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
58,Wearing_It_Anyway_Graphic_Tee_img_00000008.jpg,Tee,17,57,47,137,152,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
59,Classic_Slub_Jersey_Tank_img_00000016.jpg,Tank,16,35,75,166,279,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
60,Denim_Drawstring_Romper_img_00000003.jpg,Romper,47,19,54,180,277,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
